210101099;01;03;1+0+1+0
210101111;01;03;1+0+1+0
210101116;01;03;1+0+1+1
210102029;01;03;1+0+1+1
210102046;01;03;1+0+1+0
210103082;01;03;1+0+1+0
210103087;01;03;1+1+1+0
210103092;01;03;1+0+1+0
210103125;01;03;1+0+1+0
210103126;01;03;0+0+0+0
210103127;01;03;1+0+1+0
210104009;01;03;1+0+1+0
210104053;01;03;1+0+1+0
210107001;01;03;1+0+1+0
210107016;01;03;1+0+0+0
210107023;01;03;1+0+1+0
210107034;01;03;0+0+0+0
210107044;01;03;1+0+0+0
210107067;01;03;1+0+1+0
210107069;01;03;1+0+1+0
210107071;01;03;1+1+0+0
210107099;01;03;1+1+1+0
210108026;01;03;1+0+1+0
210121069;01;03;1+0+1+1
220101035;01;03;1+1+1+0
220121073;01;03;0+0+0+0
220123012;01;03;1+1+1+1
210101099;02;04;1+0+0+0
210101111;02;04;0+0+0+0
210101116;02;04;1+1+1+1
210102029;02;04;1+0+0+0
210102046;02;04;0+0+0+0
210103082;02;04;1+0+0+0
210103087;02;04;0+0+0+0
210103092;02;04;0+0+0+0
210103125;02;04;0+0+0+0
210103126;02;04;0+0+0+0
210103127;02;04;1+0+0+0
210104009;02;04;1+0+0+0
210104053;02;04;0+0+0+0
210107001;02;04;0+0+0+0
210107016;02;04;0+0+0+0
210107023;02;04;0+0+0+0
210107034;02;04;0+0+0+0
210107044;02;04;0+0+0+0
210107067;02;04;0+0+0+0
210107069;02;04;0+0+0+0
210107071;02;04;0+0+0+0
210107099;02;04;0+0+0+0
210108026;02;04;1+0+0+0
210121069;02;04;1+0+0+0
220101035;02;04;1+0+0+0
220121073;02;04;0+0+0+0
220123012;02;04;1+1+1+1
210101099;03;05;1+0+0+0
210101111;03;05;0+0+0+0
210101116;03;05;1+0+0+0
210102029;03;05;1+0+0+0
210102046;03;05;0+0+0+0
210103082;03;05;0+0+0+0
210103087;03;05;0+0+0+0
210103092;03;05;0+0+0+0
210103125;03;05;0+0+0+0
